P46,2008,Tan Sri Dr. Koh Tsu Koon,GERAKAN,13582 
P46,2008,Dr P Ramasamy,DAP,23067  
P46,2004,Huan Cheng Guan,GERAKAN,17097  
P46,2004,Law Choo Kian,PKR,8099 
P46,2004,Tanasekharan a/l Audherapady,DAP,6552

P47,2008,Datuk Zainal Abidin Osman,UMNO,17123 
P47,2008,Tan Tee Beng,PKR,20210  
P47,2004,Datuk Zainal Abidin Osman,UMNO,18823  
P47,2004,Goh Kheng Huat,PKR,12818 

P48,2008,Datuk Seri Chia Kwang Chye,GERAKAN,15131 
P48,2008,Liew Chin Tong,DAP,31243  
P48,2004,Chia Kwang Chye,GERAKAN,28281  
P48,2004,Zulkifli Mohd Noor,DAP,17564 

P49,2008,Khaw Veon Szu,GERAKAN,9759 
P49,2008,Chow Kon Yeow,DAP,28248  
P49,2004,Ooi Swee Hing,GERAKAN,17424 
P49,2004,Chow Kon Yeow,DAP,21652  

P50,2008,Dr Thor Teong Gee,GERAKAN,14247 
P50,2008,Jeff Ooi,DAP,30493  
P50,2008,Badrul Zaman P.S. Md Zakariah,IND,882
P50,2004,Lee Kah Choon,GERAKAN,24988  
P50,2004,Gooi Seong Kin,DAP,17518 

P51,2008,Koay Har Huah,MCA,14125 
P51,2008,Karpal Singh,DAP,35140  
P51,2004,Lim Boo Chang,MCA,21268 
P51,2004,Karpal Singh,DAP,22529  

P52,2008,Ooi Swee Kim,MCA,16589 
P52,2008,Zahrain Mohamed Hashim,PKR,27618  
P52,2004,Wong Kam Hoong,MCA,29430  
P52,2004,Ong Peng Cheow,PKR,10579 

P53,2008,Datuk Dr Norraessah Mohamad,UMNO,15041 
P53,2008,Mohd Yusmadi Mohd Yusoff,PKR,15749  
P53,2004,Datuk Dr Hilmi Yahaya,UMNO,21114  
P53,2004,Dr Rohana Ariffin,PKR,8177 

P54,2008,Datuk Tan Lian Hoe,GERAKAN,12526  
P54,2008,Mohd. Noor Abdul Rahman,PAS,6953 
P54,2004,Datuk Dr Wan Hashim Wan Teh,UMNO,12293  
P54,2004,Ramli Tusin,PAS,4213 

P55,2008,Datuk Samsul Anuar Nasarah,UMNO,10992  
P55,2008,Muhamad Zulkifli Mohamad Zakaria,PAS,6073 
P55,2004,Datil Khamsiyah Yeop,UMNO,10924  
P55,2004,Zulkifli Abu,PAS,5292 

P56,2008,Datuk Hamzah Zainuddin,UMNO,15878  
P56,2008,Dr. Mohd. Dhari Othman,PAS,13967 
P56,2004,Datuk Raja Ahmad Zainuddin Raja Omar,UMNO,18421  
P56,2004,Kamaruddin Awang Basir,PAS,10983 

P57,2008,Senator Datuk Abdul Raman Suliman,UMNO,13670 
P57,2008,Dr. Mujahid Yusof Rawa,PAS,21221  
P57,2004,Brig (G) Datuk Abd Hamid Ngah @ Zainal Abidin,UMNO,19317  
P57,2004,Datuk Dr Hasan Mohd Ali,PAS,14619 

P58,2008,Datuk Zainal Abidin Zin,UMNO,15530 
P58,2008,Mohsin Fadzli Haji Samsuri,PKR,18943  
P58,2004,Datuk Zainal Abidin Zin,UMNO,19827  
P58,2004,Ahmad Awang,PAS,14213 

P59,2008,Datuk Azim Zabidi,UMNO,18449 
P59,2008,Roslan Shaharum,PAS,20015  
P59,2008,M Morgan,IND,872
P59,2004,Tan Lian Hoe,GERAKAN,16846  
P59,2004,Dr Lo Lo Mohamed Ghazli,PAS,10144 

P60,2008,Datuk M Kayveas,PPP,16800 
P60,2008,Nga Kor Ming,DAP,28098  
P60,2004,Datuk M Kayveas,PPP,20129  
P60,2004,Ong Chee Keng,DAP,17957 
P60,2004,P Annah Dorai,PKR,4371

P61,2008,Datuk Seri Mohd. Nazri Aziz,UMNO,9830  
P61,2008,Alias Zenon,PKR,8081 
P61,2004,Datuk Seri Mohamed Nazri Abd Aziz,UMNO,9214  
P61,2004,Mohd Zolkafli Yahaya,PKR,4442 

P62,2008,Datuk Seri S.Samy Vellu,MIC,14637 
P62,2008,Michael Jeyakumar Devaraj,PKR,16458  
P62,2008,Nor Rizan Oon,IND,864
P62,2004,Datuk Seri Samy Vellu,MIC,18797  
P62,2004,Dr Michael Jeyakumar Devaraj,PKR,8562 
P62,2004,Samugam Ponmugam Ponnan,DAP,2864

P63,2008,Datuk Ahmad Husni Hanadzlah,UMNO,27942  
P63,2008,Mohamad Asri Othman,PKR,22556 
P63,2004,Datuk Ahmad Husni Hanadzlah,UMNO,31824  
P63,2004,Dr Khairuddin Datuk Abdul Malek,PAS,14464 

P64,2008,Liew Mun Hon,MCA,15422 
P64,2008,Lim Kit Siang,DAP,37364  
P64,2004,Thong Fah Chong,MCA,19077 
P64,2004,Lim Kit Siang,DAP,28851  

P65,2008,Yik Phooi Hong,MCA,17042 
P65,2008,M. Kulasegaran a/l V. Murugeson,DAP,32576  
P65,2004,Datuk Ir Ho Cheong Sing,MCA,22337 
P65,2004,M Kulasegaran,DAP,22935  

P66,2008,Cheah Yoke Can,MCA,15295 
P66,2008,Fong Po Kuan,DAP,39922  
P66,2004,Datuk Ong Ka Chuan,MCA,20735 
P66,2004,Fong Po Kuan,DAP,28662  

P67,2008,Datuk Seri Rafidah Aziz,UMNO,10735  
P67,2008,Dr. Khairudin Abdul Malik,PAS,9277 
P67,2004,Datuk Seri Rafidah Aziz,UMNO,11305  
P67,2004,Mohammad Nizak Jamaluddin,PAS,5748 

